City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
257,hithadhoo,-0.6,73.0833,300.82,73,100,1.92,MV,03-02-2025
258,visby,57.6409,18.296,272.49,80,75,2.06,SE,03-02-2025
259,ola,59.5833,151.2833,243.6,85,12,3.01,RU,04-02-2025
260,dawson creek,55.7666,-120.2362,238.95,68,0,0.0,CA,03-02-2025
261,tondano,1.3038,124.9112,292.37,92,100,0.88,ID,04-02-2025
262,i-n-salah,27.1935,2.4607,288.54,23,0,3.93,DZ,03-02-2025
263,puerto la cruz,10.2167,-64.6167,299.2,77,100,5.92,VE,03-02-2025
264,djenne,13.9061,-4.5533,298.54,14,100,3.64,ML,03-02-2025
265,rawai,7.7797,98.3253,299.92,68,69,2.89,TH,04-02-2025
266,afaahiti,-17.75,-149.2833,299.42,73,19,5.83,PF,03-02-2025
267,lebu,-37.6167,-73.65,290.96,61,6,5.12,CL,03-02-2025
268,randers,56.4667,10.05,272.8,80,100,4.14,DK,03-02-2025
269,nema,57.5067,50.5011,270.31,96,100,3.92,RU,03-02-2025
270,mukalla,14.5425,49.1242,294.18,53,100,2.56,YE,03-02-2025
271,corner brook,48.9667,-57.9484,268.09,91,100,3.46,CA,03-02-2025
272,nova sintra,14.8667,-24.7167,295.31,67,9,10.02,CV,03-02-2025
273,lagunas,-5.2269,-75.6753,307.91,41,59,1.35,PE,03-02-2025
274,bangolo,7.0069,-7.475,299.68,24,39,1.12,CI,03-02-2025
275,sechura,-5.5569,-80.8222,301.93,54,64,7.31,PE,03-02-2025
276,muisne,0.6,-80.0333,300.71,72,48,3.75,EC,03-02-2025
277,gadzhiyevo,69.2551,33.3362,255.42,99,97,1.6,RU,03-02-2025
278,egilsstadir,65.2653,-14.3948,279.1,61,75,13.89,IS,03-02-2025
279,makokou,0.5738,12.8642,296.94,74,98,1.03,GA,03-02-2025
280,blythe,33.6103,-114.5964,292.4,34,0,1.54,US,03-02-2025
281,gurupi,-11.7292,-49.0686,299.42,75,100,0.65,BR,03-02-2025
282,verkhnevilyuysk,63.4453,120.3167,252.36,95,100,6.02,RU,04-02-2025
283,zaozersk,69.4005,32.4476,254.05,99,96,0.86,RU,03-02-2025
284,frontera,26.9333,-101.45,301.66,22,0,0.89,MX,03-02-2025
285,shkoder,42.0683,19.5126,283.12,65,100,2.99,AL,03-02-2025
286,muroto-misakicho,33.2833,134.15,278.12,59,7,11.11,JP,04-02-2025
287,kolonia,50.9333,6.95,275.91,76,0,1.54,DE,03-02-2025
288,south hedland,-20.4089,118.5983,302.11,84,94,3.09,AU,04-02-2025
289,howrah,22.5892,88.3103,294.15,73,2,3.09,IN,04-02-2025
290,daru,-9.0763,143.2092,298.68,92,100,6.15,PG,04-02-2025
291,inarajan village,13.2736,144.7484,298.93,88,97,5.08,GU,04-02-2025
292,pauini,-7.7136,-66.9764,301.23,78,44,2.42,BR,03-02-2025
293,alo,6.5486,4.2686,300.78,83,11,4.43,NG,03-02-2025
294,katsuren-haebaru,26.3369,127.8719,287.16,64,100,6.69,JP,04-02-2025
295,rehoboth,-23.3167,17.0833,294.61,71,100,6.17,NA,03-02-2025
296,boa vista,2.8197,-60.6733,305.14,48,75,7.2,BR,03-02-2025
297,san luis,-33.295,-66.3356,308.6,24,80,1.46,AR,03-02-2025
298,margate,51.3813,1.3862,279.75,85,100,0.89,GB,03-02-2025
299,chebba,35.2372,11.115,288.13,63,91,5.01,TN,03-02-2025
300,bamboo flat,11.7,92.7167,296.2,94,20,0.51,IN,04-02-2025
301,khuldabad,20.05,75.1833,295.76,33,100,0.75,IN,04-02-2025
302,college,64.8569,-147.8028,261.12,85,100,2.06,US,03-02-2025
303,san patricio,28.017,-97.5169,301.12,64,84,5.44,US,03-02-2025
304,san luis de la loma,17.2706,-100.8939,302.41,59,0,3.28,MX,03-02-2025
305,houlton,46.1262,-67.8403,271.38,87,100,2.57,US,03-02-2025
306,tari,-11.1105,14.3559,293.24,93,72,0.91,AO,03-02-2025
307,vera,-29.4593,-60.2126,314.95,13,0,3.72,AR,03-02-2025
308,orkney,-26.9802,26.6727,291.83,92,100,6.44,ZA,03-02-2025
309,diamantina,-18.2494,-43.6003,298.6,47,93,3.16,BR,03-02-2025
310,jilib,0.4883,42.7854,297.26,75,21,5.57,SO,03-02-2025
311,ouahigouya,13.5828,-2.4216,298.48,14,99,3.21,BF,03-02-2025
312,tymovskoye,50.8456,142.655,250.62,100,100,0.74,RU,04-02-2025
313,cabedelo,-6.9811,-34.8339,303.52,67,11,7.23,BR,03-02-2025
314,luderitz,-26.6481,15.1594,291.28,84,4,6.1,NA,03-02-2025
315,panagyurishte,42.5,24.1833,277.01,63,100,2.58,BG,03-02-2025
316,lerwick,60.1545,-1.1494,281.47,92,100,12.78,GB,03-02-2025
317,tha khanon,9.0302,98.9529,294.5,96,11,0.91,TH,04-02-2025
318,los llanos de aridane,28.6585,-17.9182,290.01,92,100,6.17,ES,03-02-2025
319,nilsia,63.2,28.0833,261.07,94,53,2.02,FI,03-02-2025
320,tabuk,17.4189,121.4443,294.12,95,100,4.79,PH,04-02-2025
321,pandan,14.0453,124.1694,296.92,84,99,2.9,PH,04-02-2025
322,wau,7.7029,27.9953,302.54,21,88,2.0,SS,03-02-2025
323,kavaratti,10.5669,72.642,300.62,72,1,4.15,IN,04-02-2025
324,powell,40.1578,-83.0752,288.77,70,0,5.66,US,03-02-2025
325,jamaame,0.0697,42.745,297.29,82,31,6.95,SO,03-02-2025
